ExecutableID: 6251995937, SubmitTime: 6137697428, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 27,Total Latency: 1590.1758499498667,delayed_hit: 0,forward_counter: 11,skipped_counter: 0, cost: 0.0,cost_counter: 19780.471881728, ,  
ExecutableID: 6251812952, SubmitTime: 6138489978, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 28,Total Latency: 1590.1758499498667,delayed_hit: 0,forward_counter: 11,skipped_counter: 0, cost: 0.0,cost_counter: 19780.471881728, ,  
ExecutableID: 6251904229, SubmitTime: 6160140270, Latency to next edge for ExecutableID 6251904229: 144.5614409045333, , ,Number of cache hits: 28,Total Latency: 1734.7372908544,delayed_hit: 0,forward_counter: 12,skipped_counter: 0, cost: 11089.784515242667,cost_counter: 30870.256396970668, Forwarded to edge 2, Row Number: 3 
ExecutableID: 6251625636, SubmitTime: 6161044787, Latency to next edge for ExecutableID 6251625636: 144.5614409045333, , ,Number of cache hits: 28,Total Latency: 1879.2987317589334,delayed_hit: 0,forward_counter: 13,skipped_counter: 0, cost: 0.0,cost_counter: 30870.256396970668, Forwarded to edge 1, Row Number: 3 
ExecutableID: 6251904229, SubmitTime: 6169550007, , , Latency to next edge for ExecutableID 6251904229: 0,Number of cache hits: 29,Total Latency: 1879.2987317589334,delayed_hit: 0,forward_counter: 13,skipped_counter: 0, cost: 0.0,cost_counter: 30870.256396970668, ,  
ExecutableID: 6251699911, SubmitTime: 6261165520, Latency to next edge for ExecutableID 6251699911: 144.5614409045333, , ,Number of cache hits: 29,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 10834.770832042666,cost_counter: 41705.027229013336, Forwarded to edge 2, Row Number: 4 
ExecutableID: 6251812952, SubmitTime: 6268062485, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 30,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251812952, SubmitTime: 6278179259, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 31,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251995937, SubmitTime: 6316992450, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 32,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251904229, SubmitTime: 6369747605, , , Latency to next edge for ExecutableID 6251904229: 0,Number of cache hits: 33,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251904229, SubmitTime: 6379642875, , , Latency to next edge for ExecutableID 6251904229: 0,Number of cache hits: 34,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251995937, SubmitTime: 6384948583, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 35,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251995937, SubmitTime: 6392218430, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 36,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251995937, SubmitTime: 6412456675, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 37,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251995937, SubmitTime: 6440296966, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 38,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251995937, SubmitTime: 6462930078, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 39,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251995937, SubmitTime: 6575426152, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 40,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251995937, SubmitTime: 6870899250, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 41,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
